Mission Start:  2022-03-28T23:01:58.340Z
Mission Stop :  2022-03-28T23:19:02.342Z
Time : 2022-03-28 23:04:01.434000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:01.543000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:01.656000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:01.769000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:01.875000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:01.985000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:02.095000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:02.204000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:02.312000+00:00 	 15 : 0 	 observations/state
Time : 2022-03-28 23:04:02.425000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:02.533000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:02.637000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:02.742000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:02.851000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:02.957000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:03.064000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:03.172000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:03.279000+00:00 	 14 : 59 	 observations/state
Time : 2022-03-28 23:04:03.389000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:03.389000+00:00 	 14 : 58 	 observations/events/player/location
Time : 2022-03-28 23:04:03.497000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:03.497000+00:00 	 14 : 58 	 observations/events/player/location
Time : 2022-03-28 23:04:03.604000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:03.710000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:03.819000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:03.933000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:04.045000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:04.154000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:04.262000+00:00 	 14 : 58 	 observations/state
Time : 2022-03-28 23:04:04.262000+00:00 	 14 : 58 	 observations/events/player/location
Time : 2022-03-28 23:04:04.376000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:04.376000+00:00 	 14 : 57 	 observations/events/player/location
Time : 2022-03-28 23:04:04.481000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:04.481000+00:00 	 14 : 57 	 observations/events/player/location
Time : 2022-03-28 23:04:04.589000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:04.693000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:04.693000+00:00 	 14 : 57 	 observations/events/player/location
Time : 2022-03-28 23:04:04.798000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:04.798000+00:00 	 14 : 57 	 observations/events/player/location
Time : 2022-03-28 23:04:04.904000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:04.904000+00:00 	 14 : 57 	 observations/events/player/location
Time : 2022-03-28 23:04:05.009000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:05.009000+00:00 	 14 : 57 	 observations/events/player/location
Time : 2022-03-28 23:04:05.129000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:05.242000+00:00 	 14 : 57 	 observations/state
Time : 2022-03-28 23:04:05.352000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:05.461000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:05.461000+00:00 	 14 : 56 	 observations/events/player/location
Time : 2022-03-28 23:04:05.567000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:05.672000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:05.672000+00:00 	 14 : 56 	 observations/events/player/location
Time : 2022-03-28 23:04:05.778000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:05.883000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:05.992000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:06.105000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:06.219000+00:00 	 14 : 56 	 observations/state
Time : 2022-03-28 23:04:06.340000+00:00 	 14 : 55 	 observations/state
Time : 2022-03-28 23:04:06.454000+00:00 	 14 : 55 	 observations/state
Time : 2022-03-28 23:04:06.568000+00:00 	 14 : 55 	 observations/state
