Mission Start:  2022-01-20T22:54:35.501Z
Mission Stop :  2022-01-20T23:09:39.502Z
Time : 2022-01-20 22:54:35.525000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:35.631000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:35.737000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:35.840000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:35.943000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:36.050000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:36.162000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:36.267000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:36.371000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:36.475000+00:00 	 15 : 3 	 observations/state
Time : 2022-01-20 22:54:36.588000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:36.695000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:36.799000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:36.902000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:37.006000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:37.110000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:37.213000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:37.319000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:37.423000+00:00 	 15 : 2 	 observations/state
Time : 2022-01-20 22:54:37.528000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:37.636000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:37.751000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:37.855000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:37.958000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:38.062000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:38.165000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:38.271000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:38.374000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:38.484000+00:00 	 15 : 1 	 observations/state
Time : 2022-01-20 22:54:38.588000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:38.693000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:38.796000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:38.900000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:39.005000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:39.111000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:39.215000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:39.318000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:39.422000+00:00 	 15 : 0 	 observations/state
Time : 2022-01-20 22:54:39.525000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:39.629000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:39.732000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:39.836000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:39.953000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:40.057000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:40.165000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:40.269000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:40.372000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:40.476000+00:00 	 14 : 59 	 observations/state
Time : 2022-01-20 22:54:40.581000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:40.685000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:40.789000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:40.892000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:40.997000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:41.101000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:41.206000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:41.310000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:41.415000+00:00 	 14 : 58 	 observations/state
Time : 2022-01-20 22:54:41.519000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:41.622000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:41.727000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:41.831000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:41.935000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:42.038000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:42.143000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:42.247000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:42.350000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:42.454000+00:00 	 14 : 57 	 observations/state
Time : 2022-01-20 22:54:42.558000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:42.662000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:42.769000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:42.873000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:42.977000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:43.079000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:43.183000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:43.292000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:43.397000+00:00 	 14 : 56 	 observations/state
Time : 2022-01-20 22:54:43.503000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:43.607000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:43.713000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:43.818000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:43.923000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:44.026000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:44.130000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:44.237000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:44.351000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:44.463000+00:00 	 14 : 55 	 observations/state
Time : 2022-01-20 22:54:44.567000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:44.671000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:44.776000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:44.880000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:44.988000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:45.093000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:45.199000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:45.304000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:45.407000+00:00 	 14 : 54 	 observations/state
Time : 2022-01-20 22:54:45.515000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:45.618000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:45.723000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:45.830000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:45.935000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:46.042000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:46.148000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:46.251000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:46.353000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:46.455000+00:00 	 14 : 53 	 observations/state
Time : 2022-01-20 22:54:46.559000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:46.661000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:46.765000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:46.871000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:46.978000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:47.081000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:47.184000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:47.292000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:47.396000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:47.498000+00:00 	 14 : 52 	 observations/state
Time : 2022-01-20 22:54:47.602000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:47.712000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:47.815000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:47.919000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:48.023000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:48.129000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:48.238000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:48.342000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:48.445000+00:00 	 14 : 51 	 observations/state
Time : 2022-01-20 22:54:48.549000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:48.654000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:48.758000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:48.862000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:48.967000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:49.070000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:49.174000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:49.280000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:49.384000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:49.492000+00:00 	 14 : 50 	 observations/state
Time : 2022-01-20 22:54:49.595000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:49.698000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:49.802000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:49.906000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:50.011000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:50.116000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:50.222000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:50.327000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:50.429000+00:00 	 14 : 49 	 observations/state
Time : 2022-01-20 22:54:50.533000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:50.641000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:50.743000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:50.845000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:50.947000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.050000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.163000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.266000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.369000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.473000+00:00 	 14 : 48 	 observations/state
Time : 2022-01-20 22:54:51.575000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.678000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.784000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.894000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:51.998000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.103000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.206000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.311000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.414000+00:00 	 14 : 47 	 observations/state
Time : 2022-01-20 22:54:52.518000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.621000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.724000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.826000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:52.930000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.037000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.140000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.244000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.348000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.452000+00:00 	 14 : 46 	 observations/state
Time : 2022-01-20 22:54:53.558000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.662000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.767000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.870000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:53.982000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.086000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.189000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.293000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.397000+00:00 	 14 : 45 	 observations/state
Time : 2022-01-20 22:54:54.502000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.607000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.718000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.825000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:54.930000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.036000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.141000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.247000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.351000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.454000+00:00 	 14 : 44 	 observations/state
Time : 2022-01-20 22:54:55.558000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.669000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.773000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.877000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:55.982000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.092000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.195000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.299000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.403000+00:00 	 14 : 43 	 observations/state
Time : 2022-01-20 22:54:56.507000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.610000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.717000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.827000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:56.931000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.035000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.138000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.243000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.348000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.451000+00:00 	 14 : 42 	 observations/state
Time : 2022-01-20 22:54:57.556000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.660000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.764000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.866000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:57.970000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.073000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.176000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.279000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.383000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.486000+00:00 	 14 : 41 	 observations/state
Time : 2022-01-20 22:54:58.590000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:58.694000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:58.798000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:58.900000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.007000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.111000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.216000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.319000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.422000+00:00 	 14 : 40 	 observations/state
Time : 2022-01-20 22:54:59.528000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.631000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.734000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.837000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:54:59.941000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.044000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.149000+00:00 	 14 : 39 	 observations/state
Time : 2022-01-20 22:55:00.258000+00:00 	 14 : 39 	 observations/state
